Episodio nro,Título,Rating,Espectadores USA,Temporada
1,Winter Is Coming,8.5,2.22,1
2,The Kingsroad,8.3,2.2,1
3,Lord Snow,8.1,2.44,1
4,"Cripples, Bastards, and Broken Things",8.2,2.45,1
5,The Wolf and the Lion,8.5,2.58,1
6,A Golden Crown,8.6,2.44,1
7,You Win or You Die,8.7,2.4,1
8,The Pointy End,8.4,2.72,1
9,Baelor,9,2.66,1
10,Fire and Blood,8.9,3.04,1
11,The North Remembers,8.2,3.86,2
12,The Night Lands,7.9,3.76,2
13,What Is Dead May Never Die,8.2,3.77,2
14,Garden of Bones,8.1,3.65,2
15,The Ghost of Harrenhal,8.1,3.9,2
16,The Old Gods and the New,8.4,3.88,2
17,A Man Without Honor,8.2,3.69,2
18,The Prince of Winterfell,8.1,3.86,2
19,Blackwater,9.3,3.38,2
20,Valar Morghulis,8.9,4.2,2
21,Valar Dohaeris,8.2,4.37,3
22,"Dark Wings, Dark Words",7.9,4.27,3
23,Walk of Punishment,8.2,4.72,3
24,And Now His Watch Is Ended,9.1,4.87,3
25,Kissed by Fire,8.3,5.35,3
26,The Climb,8,5.5,3
27,The Bear and the Maiden Fair,7.9,4.84,3
28,Second Sons,8.3,5.13,3
29,The Rains of Castamere,9.8,5.22,3
30,Mhysa,8.4,5.39,3
31,Two Swords,8.7,6.64,4
32,The Lion and the Rose,9.5,6.31,4
33,Breaker of Chains,8.3,6.59,4
34,Oathkeeper,8.2,6.95,4
35,First of His Name,8,7.16,4
36,The Laws of Gods and Men,9.4,6.4,4
37,Mockingbird,8.6,7.2,4
38,The Mountain and the Viper,9.4,7.17,4
39,The Watchers on the Wall,9,6.95,4
40,The Children,9.2,7.1,4
